iter	Passed	Remaining
0	100	100204
1	101	50680
2	102	34189
3	104	25957
4	106	21184
5	108	17904
6	109	15548
7	110	13745
8	112	12364
9	113	11247
10	114	10333
11	116	9576
12	117	8949
13	119	8394
14	120	7923
15	122	7526
16	123	7169
17	125	6840
18	126	6541
19	128	6280
20	129	6039
21	130	5811
22	131	5605
23	133	5418
24	135	5269
25	136	5123
26	138	4982
27	139	4846
28	140	4718
29	142	4594
30	143	4477
31	144	4369
32	145	4266
33	146	4171
34	147	4079
35	149	3995
36	151	3939
37	152	3869
38	154	3801
39	155	3736
40	156	3671
41	158	3607
42	159	3546
43	160	3488
44	161	3430
45	162	3375
46	164	3335
47	166	3296
48	167	3250
49	168	3207
50	169	3162
51	171	3120
52	172	3078
53	173	3039
54	174	3000
55	175	2964
56	177	2928
57	178	2896
58	180	2876
59	181	2850
60	183	2820
61	184	2791
62	185	2762
63	186	2734
64	188	2706
65	189	2675
66	190	2648
67	191	2623
68	192	2601
69	194	2581
70	196	2566
71	197	2545
72	198	2525
73	200	2503
74	201	2482
75	202	2462
76	203	2442
77	204	2422
78	206	2402
79	207	2388
80	209	2371
81	210	2357
82	212	2344
83	213	2329
84	214	2312
85	215	2295
86	217	2278
87	218	2261
88	219	2246
89	220	2231
90	221	2216
91	223	2202
92	224	2187
93	226	2179
94	227	2164
95	228	2152
96	229	2139
97	231	2128
98	232	2115
99	233	2102
100	234	2089
101	235	2076
102	237	2064
103	238	2053
104	239	2042
105	241	2033
106	242	2024
107	243	2012
108	244	2001
109	246	1990
110	247	1979
111	248	1968
112	249	1957
113	250	1947
114	251	1938
115	253	1929
116	254	1919
117	255	1910
118	257	1904
119	258	1895
120	259	1886
121	260	1876
122	261	1868
123	263	1859
124	264	1851
125	265	1842
126	266	1834
127	267	1821
128	268	1812
129	269	1804
130	270	1795
131	272	1789
132	273	1783
133	274	1775
134	275	1767
135	276	1759
136	278	1752
137	279	1744
138	280	1738
139	281	1731
140	283	1724
141	284	1717
142	285	1710
143	286	1704
144	288	1700
145	289	1693
146	290	1687
147	291	1680
148	293	1674
149	294	1668
150	295	1662
151	297	1657
152	298	1651
153	299	1645
154	300	1640
155	302	1636
156	303	1631
157	305	1626
158	306	1620
159	307	1615
160	308	1609
161	310	1604
162	311	1598
163	312	1593
164	313	1587
165	315	1582
166	316	1577
167	317	1573
168	319	1570
169	320	1565
170	321	1560
171	323	1555
172	324	1550
173	325	1545
174	326	1540
175	327	1534
176	329	1530
177	330	1525
178	331	1520
179	332	1516
180	334	1514
181	336	1511
182	337	1507
183	338	1500
184	339	1496
185	340	1491
186	341	1486
187	343	1482
188	344	1477
189	345	1472
190	346	1468
191	347	1464
192	349	1461
193	350	1457
194	352	1453
195	353	1449
196	354	1445
197	355	1440
198	356	1436
199	358	1432
200	359	1428
201	360	1423
202	361	1419
203	362	1415
204	364	1412
205	365	1409
206	366	1405
207	368	1401
208	369	1397
209	370	1393
210	371	1389
211	372	1386
212	374	1382
213	375	1379
214	376	1375
215	377	1371
216	379	1368
217	380	1366
218	382	1362
219	383	1358
220	384	1355
221	385	1351
222	386	1348
223	388	1344
224	389	1341
225	390	1337
226	391	1334
227	393	1331
228	394	1328
229	395	1325
230	397	1322
231	398	1319
232	399	1316
233	401	1313
234	402	1309
235	403	1306
236	404	1303
237	405	1299
238	407	1296
239	408	1292
240	409	1289
241	410	1286
242	412	1286
243	414	1283
244	415	1279
245	416	1276
246	417	1273
247	418	1270
248	420	1267
249	421	1264
250	422	1261
251	423	1258
252	425	1256
253	427	1254
254	428	1252
255	429	1249
256	431	1247
257	432	1244
258	433	1241
259	435	1238
260	436	1235
261	437	1232
262	438	1229
263	439	1226
264	441	1224
265	443	1222
266	444	1219
267	445	1216
268	446	1214
269	448	1212
270	449	1210
271	451	1208
272	453	1206
273	454	1205
274	457	1204
275	458	1203
276	460	1202
277	462	1201
278	464	1199
279	466	1198
280	467	1196
281	469	1195
282	471	1195
283	474	1195
284	476	1194
285	477	1193
286	479	1192
287	481	1190
288	483	1189
289	485	1187
290	487	1186
291	489	1186
292	490	1184
293	492	1182
294	494	1180
295	495	1178
296	497	1176
297	498	1175
298	500	1173
299	502	1171
300	504	1170
301	506	1169
302	507	1167
303	509	1166
304	510	1164
305	512	1162
306	513	1160
307	515	1158
308	517	1156
309	519	1155
310	520	1154
311	522	1151
312	523	1150
313	525	1148
314	527	1146
315	528	1144
316	530	1142
317	532	1141
318	534	1140
319	536	1139
320	537	1137
321	539	1135
322	540	1133
323	542	1132
324	544	1130
325	545	1128
326	547	1126
327	549	1125
328	551	1124
329	553	1123
330	554	1121
331	556	1120
332	558	1119
333	560	1118
334	562	1116
335	565	1117
336	568	1118
337	570	1117
338	572	1116
339	574	1115
340	576	1113
341	577	1111
342	580	1112
343	583	1112
344	584	1110
345	586	1109
346	588	1107
347	590	1106
348	592	1105
349	594	1104
350	597	1105
351	599	1104
352	601	1102
353	603	1101
354	605	1099
355	607	1098
356	609	1097
357	610	1095
358	613	1095
359	615	1093
360	617	1092
361	619	1091
362	621	1090
363	623	1088
364	624	1086
365	626	1085
366	629	1085
367	630	1083
368	632	1081
369	634	1080
370	636	1078
371	638	1077
372	639	1075
373	641	1073
374	643	1073
375	645	1071
376	647	1069
377	649	1068
378	650	1066
379	652	1064
380	653	1062
381	655	1060
382	656	1058
383	659	1057
384	660	1055
385	662	1053
386	664	1052
387	665	1050
388	667	1048
389	669	1046
390	670	1044
391	672	1042
392	674	1041
393	676	1039
394	677	1037
395	679	1036
396	681	1035
397	683	1033
398	685	1032
399	687	1030
400	689	1029
401	691	1028
402	693	1026
403	694	1024
404	696	1023
405	698	1021
406	700	1019
407	701	1018
408	704	1017
409	705	1015
410	707	1014
411	709	1012
412	710	1010
413	712	1008
414	714	1006
415	715	1004
416	717	1003
417	719	1001
418	721	1000
419	723	998
420	724	996
421	726	994
422	727	992
423	729	991
424	731	989
425	732	987
426	734	985
427	736	984
428	738	983
429	740	981
430	741	979
431	743	977
432	745	975
433	746	973
434	748	971
435	749	970
436	752	969
437	754	967
438	755	965
439	757	964
440	759	962
441	760	960
442	762	958
443	764	956
444	766	955
445	768	954
446	770	952
447	771	950
448	773	949
449	775	947
450	777	946
451	779	944
452	781	944
453	783	942
454	785	941
455	787	939
456	788	937
457	791	936
458	793	934
459	794	932
460	796	931
461	798	930
462	800	928
463	802	926
464	805	926
465	807	924
466	809	923
467	810	921
468	812	920
469	815	919
470	816	917
471	818	915
472	820	913
473	821	912
474	823	910
475	825	908
476	827	907
477	829	906
478	831	904
479	833	902
480	834	900
481	836	899
482	838	897
483	839	895
484	841	893
485	843	892
486	845	890
487	847	889
488	849	887
489	850	885
490	852	883
491	853	881
492	855	879
493	856	877
494	858	875
495	860	874
496	862	872
497	863	870
498	865	869
499	867	867
500	868	865
501	870	863
502	872	861
503	873	859
504	875	858
505	877	856
506	879	855
507	881	853
508	882	851
509	884	849
510	885	847
511	887	845
512	889	844
513	891	843
514	893	841
515	895	839
516	896	837
517	898	836
518	900	834
519	902	832
520	903	831
521	917	839
522	918	837
523	919	835
524	921	833
525	923	831
526	924	829
527	926	827
528	927	825
529	928	823
530	930	821
531	931	819
532	933	817
533	934	815
534	935	813
535	938	812
536	939	810
537	941	808
538	942	806
539	944	804
540	945	802
541	947	800
542	948	798
543	950	796
544	951	794
545	954	793
546	955	791
547	957	789
548	958	787
549	959	785
550	961	783
551	962	781
552	963	779
553	965	777
554	966	774
555	968	773
556	970	771
557	971	769
558	973	767
559	974	765
560	976	763
561	977	761
562	978	759
563	979	757
564	981	755
565	982	753
566	984	751
567	986	749
568	987	747
569	988	745
570	990	744
571	991	742
572	992	739
573	994	737
574	995	735
575	996	733
576	998	731
577	1000	730
578	1001	728
579	1002	726
580	1004	724
581	1005	722
582	1006	720
583	1008	718
584	1009	716
585	1010	713
586	1011	711
587	1013	709
588	1015	708
589	1016	706
590	1018	704
591	1019	702
592	1020	700
593	1021	698
594	1023	696
595	1024	694
596	1025	692
597	1027	690
598	1028	688
599	1030	687
600	1032	685
601	1033	683
602	1035	681
603	1036	679
604	1037	677
605	1038	675
606	1040	673
607	1041	671
608	1042	669
609	1045	668
610	1047	667
611	1049	665
612	1051	663
613	1053	662
614	1054	660
